,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,0.06442604028321605,0.006310827653388031
Linear X Learner,0.07883781510684279,0.007944644065547622
Gradient Boosting Trees X Learner,0.08023608531423729,0.007188516274956478
Linear DML,0.06837283222263259,0.007884727981375746
Gradient Boosting Trees DML,0.07775473024356375,0.007192249406106157
Doubly Robust (Linear),0.15680790829900376,0.02005832808851057
Causal BART,0.07609282637534273,0.007132958088553557
TMLE,0.1822160103877853,0.01940961008489426
