,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,7.336926179290134,0.00030888854630570326
Linear X Learner,9.129600204063916,0.00032374859499100834
Gradient Boosting Trees X Learner,10.09307192047424,0.0003207649270366123
Linear DML,7.604203277545062,0.000356628746941998
Gradient Boosting Trees DML,10.306941419867842,0.0005770556480022425
Doubly Robust (Linear),19412587.475820843,3578.120916507584
Causal BART,8.77186906244828,0.0003237074917331485
TMLE,27.047614159803576,0.0021856467084045536
