,Posterior-Source MMD,Prior-Source MMD
0,0.0002922341227531433,0.0006838589906692505
1,0.00016718357801437378,0.004047103226184845
2,0.00017799437046051025,0.0002593100070953369
3,0.0011836513876914978,0.003818325698375702
4,0.0007234513759613037,0.0036589205265045166
5,0.00010169297456741333,0.001569606363773346
6,0.0005845502018928528,0.0021392107009887695
7,0.00019083917140960693,0.00059518963098526
8,0.0006253346800804138,0.0021830201148986816
9,0.0008450672030448914,0.0019233524799346924
10,0.0004859939217567444,0.004357688128948212
11,0.0006946325302124023,0.001893855631351471
12,0.00044008344411849976,0.002316504716873169
13,0.00019086897373199463,0.0008517801761627197
14,0.00040294229984283447,0.0004165545105934143
15,0.0022509098052978516,0.0016361698508262634
16,0.0005794242024421692,0.0024074241518974304
17,0.0005824118852615356,0.00502486526966095
18,0.0011380910873413086,0.0007222294807434082
19,0.00016564130783081055,0.003056727349758148
20,0.00019266456365585327,0.0002687796950340271
21,0.00046018511056900024,0.0012774765491485596
22,0.00011602044105529785,0.0007035434246063232
23,0.001149691641330719,0.0007788017392158508
24,0.001914091408252716,0.0036008358001708984
25,0.00022649019956588745,0.0005603358149528503
26,0.00016261637210845947,0.0003663748502731323
27,0.00033508241176605225,0.0005515813827514648
28,0.0002733394503593445,0.0015310496091842651
29,0.0001981109380722046,0.0015297457575798035
30,0.00013136118650436401,0.002619810402393341
31,0.00027727335691452026,0.001253381371498108
32,0.0005486011505126953,0.0019509047269821167
33,0.0002972334623336792,0.0009305700659751892
34,0.0012098178267478943,0.0029871538281440735
35,0.00031257420778274536,0.00113765150308609
36,0.0006423592567443848,0.0033406242728233337
37,0.00046369433403015137,0.0021395161747932434
38,0.00016987323760986328,0.0025208815932273865
39,0.0002815425395965576,0.003488704562187195
40,0.0006203949451446533,0.00012251734733581543
41,0.0004229694604873657,0.0002342015504837036
42,0.0001696944236755371,0.005267038941383362
43,0.00018312782049179077,0.0024420395493507385
44,0.0008757412433624268,0.002500981092453003
45,0.00030612945556640625,0.00032999366521835327
46,0.0006311982870101929,0.0037709027528762817
47,0.0010022744536399841,0.001101084053516388
48,0.0002625808119773865,0.00028940290212631226
49,0.00021645426750183105,0.0009418800473213196
