,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,5.777231906726977,0.01919811527562942
Linear X Learner,6.511148155587213,0.019449851283451003
Gradient Boosting Trees X Learner,6.778598870711269,0.009190419519748418
Linear DML,4.9255614576400415,0.012456834315812768
Gradient Boosting Trees DML,7.110800435591555,0.055216334968057924
Doubly Robust (Linear),14.35309088998727,0.04102724393287846
Causal BART,5.953682642271421,0.01693584948158232
TMLE,21.10795183297202,0.062462093100406915
