,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,0.07899745194117214,0.010161801019317261
Linear X Learner,0.10036474543979428,0.011475449170381347
Gradient Boosting Trees X Learner,0.10975725590697713,0.011608608758324064
Linear DML,0.08081942919031627,0.00960056742207442
Gradient Boosting Trees DML,0.11354799230243978,0.012349367254161745
Doubly Robust (Linear),47623.87353687124,26142.903398039667
Causal BART,0.09596982035118884,0.01120651744982181
TMLE,0.3177243332134813,0.039101126286335545
