,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,6.525668996504704,0.0008289953292936459
Linear X Learner,8.057624546909015,0.0008900987772824344
Gradient Boosting Trees X Learner,8.187585964748445,0.0007885428487437416
Linear DML,6.435709915500497,0.0008706648047107446
Gradient Boosting Trees DML,9.564502188783518,0.0008635859449122869
Doubly Robust (Linear),3637636.3092065984,3158.737885842628
Causal BART,7.790157614228356,0.0008967889955112902
TMLE,26.509446723095408,0.003498359485646436
