,loss,train_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/latent_dim,config/train_loop_config/hidden_dim,config/train_loop_config/lr,config/train_loop_config/kld_rigidity,config/train_loop_config/bias_rigidity,config/train_loop_config/effect_rigidity,config/train_loop_config/batch_size
17,0.012540399096906185,0.017647139728069305,1764016228,,False,18,6a6fc_00003,2025-11-24_15-30-28,2.469259262084961,378.14206433296204,197531,cpu019,10.100.10.19,378.14206433296204,18,5,"[4, 8, 16, 32, 64, 32, 16, 8, 4]",0.0015136456990297263,0.01,1000,0,32
18,0.012538794428110123,0.005705257412046194,1764016230,,False,19,6a6fc_00003,2025-11-24_15-30-30,2.4948792457580566,380.6369435787201,197531,cpu019,10.100.10.19,380.6369435787201,19,5,"[4, 8, 16, 32, 64, 32, 16, 8, 4]",0.0015136456990297263,0.01,1000,0,32
19,0.012759328819811344,0.00275453832000494,1764016233,,False,20,6a6fc_00003,2025-11-24_15-30-33,2.495021343231201,383.1319649219513,197531,cpu019,10.100.10.19,383.1319649219513,20,5,"[4, 8, 16, 32, 64, 32, 16, 8, 4]",0.0015136456990297263,0.01,1000,0,32
20,0.011458415538072586,0.016631094738841057,1764016235,,False,21,6a6fc_00003,2025-11-24_15-30-35,2.52950119972229,385.6614661216736,197531,cpu019,10.100.10.19,385.6614661216736,21,5,"[4, 8, 16, 32, 64, 32, 16, 8, 4]",0.0015136456990297263,0.01,1000,0,32
21,0.011049403809010983,0.017511535435914993,1764016238,,False,22,6a6fc_00003,2025-11-24_15-30-38,2.4756321907043457,388.13709831237793,197531,cpu019,10.100.10.19,388.13709831237793,22,5,"[4, 8, 16, 32, 64, 32, 16, 8, 4]",0.0015136456990297263,0.01,1000,0,32
22,0.024153929203748703,0.008304973132908344,1764016240,,False,23,6a6fc_00003,2025-11-24_15-30-40,2.509485960006714,390.64658427238464,197531,cpu019,10.100.10.19,390.64658427238464,23,5,"[4, 8, 16, 32, 64, 32, 16, 8, 4]",0.0015136456990297263,0.01,1000,0,32
23,0.01187982875853777,0.014570733532309532,1764016243,,False,24,6a6fc_00003,2025-11-24_15-30-43,2.4776222705841064,393.12420654296875,197531,cpu019,10.100.10.19,393.12420654296875,24,5,"[4, 8, 16, 32, 64, 32, 16, 8, 4]",0.0015136456990297263,0.01,1000,0,32
24,0.010707258246839046,0.004340185783803463,1764016245,,False,25,6a6fc_00003,2025-11-24_15-30-45,2.497587203979492,395.62179374694824,197531,cpu019,10.100.10.19,395.62179374694824,25,5,"[4, 8, 16, 32, 64, 32, 16, 8, 4]",0.0015136456990297263,0.01,1000,0,32
25,0.010311851277947426,0.010351683013141155,1764016248,,False,26,6a6fc_00003,2025-11-24_15-30-48,2.4792377948760986,398.10103154182434,197531,cpu019,10.100.10.19,398.10103154182434,26,5,"[4, 8, 16, 32, 64, 32, 16, 8, 4]",0.0015136456990297263,0.01,1000,0,32
26,0.009735035710036755,0.005783242639154196,1764016250,,False,27,6a6fc_00003,2025-11-24_15-30-50,2.489095449447632,400.590126991272,197531,cpu019,10.100.10.19,400.590126991272,27,5,"[4, 8, 16, 32, 64, 32, 16, 8, 4]",0.0015136456990297263,0.01,1000,0,32
27,0.011342911049723625,0.019147828221321106,1764016253,,False,28,6a6fc_00003,2025-11-24_15-30-53,2.454448938369751,403.0445759296417,197531,cpu019,10.100.10.19,403.0445759296417,28,5,"[4, 8, 16, 32, 64, 32, 16, 8, 4]",0.0015136456990297263,0.01,1000,0,32
28,0.010516759008169174,0.005182719323784113,1764016255,,False,29,6a6fc_00003,2025-11-24_15-30-55,2.499345064163208,405.54392099380493,197531,cpu019,10.100.10.19,405.54392099380493,29,5,"[4, 8, 16, 32, 64, 32, 16, 8, 4]",0.0015136456990297263,0.01,1000,0,32
29,0.00952399242669344,0.0051265605725348,1764016258,,False,30,6a6fc_00003,2025-11-24_15-30-58,2.4906792640686035,408.03460025787354,197531,cpu019,10.100.10.19,408.03460025787354,30,5,"[4, 8, 16, 32, 64, 32, 16, 8, 4]",0.0015136456990297263,0.01,1000,0,32
30,0.009307381696999073,0.0017691036919131875,1764016260,,False,31,6a6fc_00003,2025-11-24_15-31-00,2.492896795272827,410.52749705314636,197531,cpu019,10.100.10.19,410.52749705314636,31,5,"[4, 8, 16, 32, 64, 32, 16, 8, 4]",0.0015136456990297263,0.01,1000,0,32
31,0.009222747758030891,0.002400327706709504,1764016263,,False,32,6a6fc_00003,2025-11-24_15-31-03,2.472907066345215,413.0004041194916,197531,cpu019,10.100.10.19,413.0004041194916,32,5,"[4, 8, 16, 32, 64, 32, 16, 8, 4]",0.0015136456990297263,0.01,1000,0,32
