,Posterior-Source MMD,Prior-Source MMD
0,0.08508098125457764,0.1023017168045044
1,0.08495378494262695,0.07875072956085205
2,0.08712387084960938,0.14238500595092773
3,0.08091127872467041,0.10548043251037598
4,0.09125399589538574,0.20214533805847168
5,0.07441818714141846,0.08140254020690918
6,0.08817565441131592,0.18925607204437256
7,0.08324992656707764,0.2596787214279175
8,0.09253275394439697,0.25639402866363525
9,0.08314347267150879,0.15447711944580078
10,0.0805058479309082,0.1948763132095337
11,0.0845557451248169,0.15650105476379395
12,0.08333933353424072,0.2220083475112915
13,0.08039677143096924,0.15095341205596924
14,0.08332240581512451,0.08818233013153076
15,0.07354581356048584,0.2406446933746338
16,0.08171296119689941,0.09041810035705566
17,0.0806049108505249,0.1833573579788208
18,0.08259212970733643,0.11029243469238281
19,0.07864761352539062,0.2793012857437134
20,0.08258283138275146,0.2216036319732666
21,0.08363115787506104,0.22115874290466309
22,0.08061504364013672,0.21142375469207764
23,0.08183002471923828,0.15291261672973633
24,0.07857632637023926,0.15193426609039307
25,0.08706843852996826,0.14342713356018066
26,0.08346521854400635,0.17770111560821533
27,0.08317136764526367,0.09313070774078369
28,0.09001648426055908,0.2225782871246338
29,0.08431434631347656,0.07633399963378906
30,0.07985830307006836,0.08767342567443848
31,0.09339940547943115,0.09311425685882568
32,0.08163809776306152,0.17979443073272705
33,0.09119641780853271,0.17941725254058838
34,0.0823601484298706,0.08965587615966797
35,0.0913916826248169,0.21252202987670898
36,0.0890190601348877,0.11703372001647949
37,0.08775627613067627,0.1023627519607544
38,0.08069157600402832,0.1039661169052124
39,0.08068180084228516,0.11855947971343994
40,0.08291137218475342,0.12100028991699219
41,0.07637405395507812,0.21930062770843506
42,0.07858884334564209,0.2192140817642212
43,0.08666670322418213,0.1583247184753418
44,0.0807497501373291,0.10618281364440918
45,0.08418893814086914,0.24676072597503662
46,0.08635461330413818,0.16526341438293457
47,0.08131444454193115,0.187799334526062
48,0.08522605895996094,0.17262005805969238
49,0.08888185024261475,0.14809119701385498
