,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,0.07418691420046239,0.041594283083011774
Linear X Learner,0.1036890368242187,0.025818348824555186
Gradient Boosting Trees X Learner,0.26909271618992653,0.03271748677650371
Linear DML,0.2656874019686763,0.04085918439521542
Gradient Boosting Trees DML,0.27771508278810797,0.028407232892859853
Doubly Robust (Linear),4062.6380791107267,4065.402117224849
Causal BART,0.1393934393762631,0.02769579773877141
TMLE,0.12151540861150632,0.04965559573765571
