,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,0.15539182789415823,0.04201691541937226
Linear X Learner,0.18776305271630417,0.025869540370159583
Gradient Boosting Trees X Learner,0.44108729753803844,0.03262455027665496
Linear DML,0.4279117455782672,0.039987158561511464
Gradient Boosting Trees DML,0.49818540748098544,0.02860801902033458
Doubly Robust (Linear),4054.5309165030544,4065.2590564974435
Causal BART,0.23560944879808132,0.027694969431614373
TMLE,0.23844373610177308,0.049845498636813604
