,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,0.4002755323423158,0.0013059524415225511
Linear X Learner,0.40262753499590576,0.0012919589026638945
Gradient Boosting Trees X Learner,0.4301648518264197,0.001334030162033023
Linear DML,0.3623995617658568,0.0012432774845626538
Gradient Boosting Trees DML,0.5972704845423755,0.0032181208199951665
Doubly Robust (Linear),109826.47970242049,2268.330910652543
Causal BART,0.4105797667713979,0.001320150078697721
TMLE,0.4070300152097952,0.0012658114590622137
