,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,0.1826674133990163,0.002177653927226339
Linear X Learner,0.19153103623262485,0.0021930188458322303
Gradient Boosting Trees X Learner,0.19833501549394217,0.002423575482641597
Linear DML,0.17697165743982837,0.0015692552401007636
Gradient Boosting Trees DML,0.27184865118277257,0.0017928764718743856
Doubly Robust (Linear),0.24781841982452257,0.0022466564946830216
Causal BART,0.1920439481486904,0.002142312073813867
TMLE,0.18241609082450883,0.0021633250846688776
