,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,0.3178975267837559,0.0004428904192509861
Linear X Learner,0.32108921095321763,0.0005037922875661848
Gradient Boosting Trees X Learner,0.3670985569657505,0.000761109796161885
Linear DML,0.3045093876564556,0.00041848667622153025
Gradient Boosting Trees DML,0.5519563655611128,0.0006232863884793251
Doubly Robust (Linear),6164.283744452832,0.0033259614183061
Causal BART,0.3270605627119111,0.0005321802656897532
TMLE,0.3176651687563636,0.0005033297891164474
