,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,1.5692962375445172e+16,2450896437.8793883
Linear X Learner,1.551144486717079e+16,2447910372.7968936
Gradient Boosting Trees X Learner,1.7462814013830092e+16,2534283850.201083
Linear DML,1.4903435891959598e+16,2399748521.0718164
Gradient Boosting Trees DML,1.8394213809751372e+16,3300941238.7399335
Doubly Robust (Linear),1.6222995252816656e+16,3438906446396.3726
Causal BART,1.5897575724821232e+16,2517366643.299722
TMLE,1.549744562331415e+16,2467659851.962235
