,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,1.7030438049307236e+16,185739651.22684982
Linear X Learner,1.7092372164690362e+16,187182832.0830028
Gradient Boosting Trees X Learner,1.716916673870884e+16,193546720.07158265
Linear DML,1.6977662572501382e+16,186379880.54518688
Gradient Boosting Trees DML,2.1602720986975184e+16,212130848.65995696
Doubly Robust (Linear),1.7850050820659636e+16,893355302488.9183
Causal BART,1.7310272774870356e+16,189886739.31172845
TMLE,1.7112660465010542e+16,184737626.92822078
