,Posterior-Source SWD,Prior-Source SWD
0,3839.6142562917703,166710541.50620866
1,6731.337663644855,144017043.77374482
2,11022.75973648794,48976839.180819094
3,6184.360716941494,174597693.36608157
4,2954.0432444257813,219924495.3287558
5,8274.095240894741,120374437.96068531
6,16241.961235084167,80787023.78970101
7,23677.300802528607,148392638.06669348
8,11235.108502651114,57766108.18844588
9,15699.455378423494,70576079.02875452
10,8740.491543686607,148950915.05908206
11,5506.124602217325,190798514.34910896
12,14227.733824502307,135270524.01405072
13,2680.0301528544023,126779560.34922104
14,20660.514970568307,29064980.148591626
15,12542.294482714959,275194081.8619309
16,34755.49622842044,117200900.51274654
17,5766.4800516284095,87953954.87131666
18,7786.67846654798,48011404.9648831
19,26092.522313146455,148887136.89503583
20,2979.7251829398024,192385704.1269342
21,3683.6671354423033,120381409.4973189
22,3449.2198157239413,198952409.1541809
23,3069.284479295371,108836817.31937633
24,2732.904587660315,1014316.749999613
25,11955.944742065796,5381624.023909863
26,8169.285951571426,68800814.4051302
27,13442.698707626168,284244330.7616365
28,17969.981307776536,73482170.36886814
29,21278.84325565608,99115543.3571572
30,4482.131191720688,130282983.8789815
31,10770.513536092734,15904799.280418636
32,3309.0833105286756,184690995.43065268
33,3683.657745857375,159349394.7659536
34,8898.905653469365,92002092.75315695
35,4213.991766514088,120910345.7751058
36,6063.692185135744,179380897.63576385
37,5046.4565490313735,29857838.286586944
38,9728.047422852562,12699990.905361503
39,26515.042848896726,35795238.843342446
40,3324.7546118772243,79914374.5300952
41,8806.775641705903,185088269.8040657
42,25218.05760077699,43992565.07717531
43,6572.318090129544,87387664.16644116
44,12957.440128062994,101716025.28777535
45,14889.138504431188,20980732.589589663
46,2738.3810905240452,219810546.6065035
47,3467.8260548483904,120246604.22225302
48,11796.366026026319,172957031.7328098
49,15947.329792722925,51792254.30895612
