,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,0.33260202732955413,0.004881429646288233
Linear X Learner,0.3365777511264835,0.004949651351830842
Gradient Boosting Trees X Learner,0.3578422686139472,0.005933738602654961
Linear DML,0.31609761019684185,0.00459564444733487
Gradient Boosting Trees DML,0.44736937876583105,0.005055395112320271
Doubly Robust (Linear),17381.140667624095,145108.39873210053
Causal BART,0.3419315646786232,0.005046343203021942
TMLE,0.33730304806492184,0.004963037644569183
