,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,0.20227320635879595,0.0014873382405500924
Linear X Learner,0.19445788512843148,0.0014748402373686706
Gradient Boosting Trees X Learner,0.1577968669051487,0.0014931780106743286
Linear DML,0.18914201912147693,0.0015198488600127792
Gradient Boosting Trees DML,0.1736798817257035,0.0015924787542363587
Doubly Robust (Linear),0.20227311908835224,0.0016958956841548847
Causal BART,0.2021523046467156,0.0015814567878709145
TMLE,0.18515821582105862,0.0014982879266114252
