,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,0.31869759767812217,0.002440510392702682
Linear X Learner,0.3182623893036635,0.002483617039337578
Gradient Boosting Trees X Learner,0.35235926857172667,0.0028303747332745046
Linear DML,0.29569996632973466,0.002328692389115965
Gradient Boosting Trees DML,0.3062548507797829,0.004327265705401545
Doubly Robust (Linear),0.44670246048079415,749.5494394572837
Causal BART,0.3274967611552996,0.0025552463697288397
TMLE,0.31695290295150036,0.00247419884134352
