,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,0.26015224724375485,0.0004871542274348826
Linear X Learner,0.2701874937629558,0.0004604858673699677
Gradient Boosting Trees X Learner,0.28278850373860026,0.0004306203215991237
Linear DML,0.20050827563439444,0.0004363185934711665
Gradient Boosting Trees DML,0.15208263644880793,0.0007283324340138866
Doubly Robust (Linear),0.275045605696981,0.0007426481268335521
Causal BART,0.2850103764346995,0.00046735690757264783
TMLE,0.2703381619254662,0.0004605776086005576
