,Prior-Source BSE,Posterior-Source BSE
Diff. of Mean,0.3732071048970272,0.0021575557690688054
Linear X Learner,0.37366319506635803,0.002157769766016335
Gradient Boosting Trees X Learner,0.3968246037030718,0.0025342427260608862
Linear DML,0.3476401671932713,0.0020586057671821783
Gradient Boosting Trees DML,0.4004593574718158,0.0030474710885269184
Doubly Robust (Linear),639835.4895804405,160.4386993053677
Causal BART,0.3812231027643953,0.00223542181701163
TMLE,0.37588828688975917,0.00218416141589968
