,Posterior-Source SWD,Prior-Source SWD
0,6123.946023535456,172644022.3833995
1,50102.08663771045,104114459.05909579
2,63735.83687221505,103045069.57807823
3,35782.30756969532,1161909.7580141742
4,29489.450479173156,228862090.48688513
5,64558.92821222668,168729515.44265524
6,44808.65121906443,114771924.63264923
7,45500.02314260022,110925855.28347424
8,11971.42310018444,91312063.11438249
9,25493.584664040114,91032430.2440721
10,69205.03643920654,127846444.36091413
11,62748.89495573676,76315340.35711727
12,13747.981924660338,25625469.35142494
13,85628.07144607329,209833261.30311444
14,86236.01779247772,268557884.78597414
15,8920.293495553717,240003378.9409073
16,76737.1509159652,127773437.91066836
17,66225.98531304116,225424179.7052101
18,18209.093000385226,91302587.27553484
19,17743.082273791795,49751324.37632967
20,100544.06723215252,178054237.3253568
21,18392.417316061914,87623368.6809195
22,25872.132030143523,62917625.9087286
23,22375.621806222363,147371641.91354483
24,21825.53678455168,69423483.41216472
25,72502.33081985141,126624341.71890073
26,23603.064390888045,193972987.2703264
27,24766.675818733787,30589830.28751652
28,59595.27296706728,367599073.4204945
29,30923.525755446724,54465848.57488969
30,7137.191258986275,64614638.700396836
31,14585.418957348285,220899439.3195881
32,91041.14921323628,94970463.19361025
33,23079.417092966778,56551147.32280351
34,27858.958612904236,132691591.95129259
35,31087.242822073404,105893838.02793781
36,69166.43351883783,31185862.785185844
37,29304.073776724483,84192085.6647015
38,88947.60582168639,62500423.27966198
39,61381.512000630224,91317757.9846465
40,10462.81207742957,76359722.17803305
41,72989.42953066564,9268916.517727882
42,38636.709980536565,70784786.5696622
43,56687.50896901737,105632207.67126498
44,24177.332938966414,77030998.30526079
45,88039.96690725446,61020894.25374334
46,60808.65702119724,133281294.68780828
47,35504.2860660808,9822018.295607433
48,13825.237286647885,278928808.6762282
49,32730.586981504548,69922131.02779049
