,Posterior-Source MMD,Prior-Source MMD
0,0.002407580614089966,0.0007043927907943726
1,0.0031590312719345093,0.0451720729470253
2,0.0009761154651641846,0.01893952488899231
3,0.0017911940813064575,0.03441867232322693
4,0.0018317103385925293,0.0340733677148819
5,0.003658890724182129,0.043850891292095184
6,0.0011070817708969116,0.015379711985588074
7,0.0014731287956237793,0.01593044400215149
8,0.00418679416179657,0.02209632098674774
9,0.0012736767530441284,0.0247272327542305
10,0.0022678375244140625,0.04639075696468353
11,0.0023769736289978027,0.02934335172176361
12,0.0021123141050338745,0.03989847004413605
13,0.0009710192680358887,0.004999890923500061
14,0.0021476149559020996,0.0606197752058506
15,0.0011972635984420776,0.021000511944293976
16,0.012956500053405762,0.053493402898311615
17,0.0015753507614135742,0.05464646965265274
18,0.001245841383934021,0.05319138616323471
19,0.007307618856430054,0.020843535661697388
20,0.0020026862621307373,0.024670913815498352
21,0.002451777458190918,0.02054840326309204
22,0.0009305775165557861,0.05537343770265579
23,0.0009477287530899048,0.0009074658155441284
24,0.002799481153488159,0.04710830748081207
25,0.0008368641138076782,0.028873302042484283
26,0.002525821328163147,0.023274533450603485
27,0.0053116679191589355,0.044076792895793915
28,0.0039035826921463013,0.01347428560256958
29,0.004742652177810669,0.03611321747303009
30,0.002559095621109009,0.044022463262081146
31,0.0008990317583084106,0.020831122994422913
32,0.002202361822128296,0.015737682580947876
33,0.0014486610889434814,0.05537930130958557
34,0.0013188421726226807,0.010177075862884521
35,0.001508951187133789,0.04475165158510208
36,0.0010372549295425415,0.0006545335054397583
37,0.003747090697288513,0.040277011692523956
38,0.00332622230052948,0.03539232164621353
39,0.008829250931739807,0.012682810425758362
40,0.0010995566844940186,0.0039018988609313965
41,0.003510802984237671,0.0012046992778778076
42,0.0009341686964035034,0.04040952026844025
43,0.0014400780200958252,0.030366115272045135
44,0.0008721202611923218,0.017457351088523865
45,0.001065179705619812,0.04072554409503937
46,0.004908382892608643,0.0010215044021606445
47,0.006698712706565857,0.019649535417556763
48,0.0012003779411315918,0.03795390576124191
49,0.0033937394618988037,0.01275511085987091
